"","Date","Plot","EVI","EVI2","GNDVI","NDRE","NDVI","NGRDI","NIRRENDVI","RedEdgeNDVI","RENDVI","RGBVI","SAVI","VARI","PM","EXPT_YEAR","Crop","IRR","ET_wb","DAS","Kc"
"4",2020-12-09,13,0.2826917,0.164988095,0.199409091,0.15925974,0.105495671,-0.095470779,0.12661039,0.15925974,0.105495671,0.225309527,0.158376623,0.037781355,2.11484955189898,"2020-2021","Green beans",50,1.3,15,0.614700936448502
"5",2020-12-09,14,0.277853579,0.149633661,0.181510362,0.028152026,0.096249738,-0.086404647,0.115491941,0.028152026,0.096249738,0.012455066,0.144489219,-0.144294412,2.11484955189898,"2020-2021","Green beans",25,0.67,15,0.316807405708074
"6",2020-12-09,15,0.315685606,0.148028492,0.183258481,0.045452131,0.09512254,-0.089399976,0.114153085,0.045452131,0.09512254,0.143848517,0.142761077,-0.008865805,2.11484955189898,"2020-2021","Green beans",100,1,15,0.472846874191156
"7",2020-12-09,16,0.37889696,0.150994114,0.191306409,0.079937868,0.09691792,-0.09588947,0.116311315,0.079937868,0.09691792,0.098074948,0.14558208,-0.00856163,2.11484955189898,"2020-2021","Green beans",75,1.04,15,0.491760749158802
"8",2020-12-09,17,0.476423112,0.175379079,0.196787428,0.058951536,0.11171785,-0.086821017,0.134107486,0.058951536,0.11171785,0.116082559,0.167759117,0.005140395,2.11484955189898,"2020-2021","Green beans",100,0.77,15,0.36409209312719
"9",2020-12-09,18,0.307880896,0.157090598,0.205247863,0.060207407,0.10077265,-0.106360114,0.12094245,0.060207407,0.10077265,0.124523183,0.151271795,-0.037197452,2.11484955189898,"2020-2021","Green beans",50,1.3,15,0.614700936448502
"10",2020-12-09,19,0.314987172,0.158590805,0.169647126,0.038376825,0.1014,-0.068986207,0.12167931,0.038376825,0.1014,0.014777174,0.152190805,-0.126673548,2.11484955189898,"2020-2021","Green beans",75,0.66,15,0.312078936966163
"12",2020-12-09,20,0.349096826,0.201352952,0.209899675,0.066292758,0.128157844,-0.083464552,0.153855341,0.066292758,0.128157844,-0.113231029,0.192307472,-0.256800297,2.11484955189898,"2020-2021","Green beans",25,0.73,15,0.345178218159544
"13",2020-12-09,21,0.441209783,0.204904728,0.187034815,0.053915549,0.130242296,-0.057855799,0.156351447,0.053915549,0.130242296,-0.039057742,0.195479887,-0.167376604,2.11484955189898,"2020-2021","Green beans",25,0.36,15,0.170224874708816
"14",2020-12-09,22,0.353466172,0.159397198,0.184972407,0.037854818,0.102003679,-0.084283289,0.122419697,0.037854818,0.102003679,-0.178781834,0.153179567,-0.290671215,2.11484955189898,"2020-2021","Green beans",75,0.27,15,0.127668656031612
"15",2020-12-09,23,0.303872767,0.153315301,0.205866637,0.05189225,0.098589093,-0.109216163,0.118305365,0.05189225,0.098589093,-0.31520164,0.147874807,-0.385053815,2.11484955189898,"2020-2021","Green beans",50,2.06,15,0.97406456083378
"16",2020-12-09,24,0.430524909,0.169524688,0.180962917,0.075113706,0.108002459,-0.073986888,0.129631223,0.075113706,0.108002459,-0.171416199,0.162401147,-0.250571284,2.11484955189898,"2020-2021","Green beans",100,0.93,15,0.439747592997775
"28",2020-12-10,13,0.425415448,0.232725999,0.22857486,0.095145116,0.14697558,-0.083961169,0.176391113,0.095145116,0.14697558,0.27098434,0.220494396,0.091691734,1.88963006671256,"2020-2021","Green beans",50,1.3,16,0.687965344593424
"29",2020-12-10,14,0.357811597,0.185814576,0.205465543,0.079089737,0.11870005,-0.088589985,0.142452157,0.079089737,0.11870005,0.046650107,0.177974219,-0.109671355,1.88963006671256,"2020-2021","Green beans",25,0.94,16,0.497451864552168
"30",2020-12-10,15,0.433761905,0.195970326,0.195091926,0.05344086,0.124885496,-0.071691216,0.149827975,0.05344086,0.124885496,0.103011882,0.187329319,-0.033071786,1.88963006671256,"2020-2021","Green beans",100,0.97,16,0.513327987888939
"31",2020-12-10,16,0.400503089,0.154769289,0.176783283,0.084686082,0.099079047,-0.078632753,0.11901475,0.084686082,0.099079047,0.287563987,0.148969365,0.142617872,1.88963006671256,"2020-2021","Green beans",75,1.03,16,0.545080234562482
"32",2020-12-10,17,0.378828829,0.170093927,0.18428353,0.063237221,0.10810616,-0.077042377,0.129801223,0.063237221,0.10810616,0.137703081,0.162492355,0.001739917,1.88963006671256,"2020-2021","Green beans",100,0.97,16,0.513327987888939
"33",2020-12-10,18,0.308178014,0.1541211,0.189660833,0.052440483,0.098887923,-0.092143711,0.118692249,0.052440483,0.098887923,0.12424913,0.148442222,-0.03255939,1.88963006671256,"2020-2021","Green beans",50,1.3,16,0.687965344593424
"34",2020-12-10,19,0.286938326,0.158014824,0.202870553,0.047038043,0.100890563,-0.103454792,0.12114748,0.047038043,0.100890563,0.04044711,0.151531621,-0.120676434,1.88963006671256,"2020-2021","Green beans",75,1.03,16,0.545080234562482
"36",2020-12-10,20,0.345858459,0.210343504,0.209009734,0.083940472,0.133460314,-0.077168663,0.160208723,0.083940472,0.133460314,0.053753975,0.200243355,-0.119686717,1.88963006671256,"2020-2021","Green beans",25,0.94,16,0.497451864552168
"37",2020-12-10,21,0.344919834,0.186463043,0.209138043,0.044669493,0.119209783,-0.091988043,0.14306413,0.044669493,0.119209783,-0.069066402,0.178859783,-0.216544808,1.88963006671256,"2020-2021","Green beans",25,0.94,16,0.497451864552168
"38",2020-12-10,22,0.333895964,0.161832117,0.204267153,0.040372263,0.103522628,-0.102515328,0.124240876,0.040372263,0.103522628,-0.060214221,0.155405839,-0.202600396,1.88963006671256,"2020-2021","Green beans",75,1.03,16,0.545080234562482
"39",2020-12-10,23,0.301205725,0.156621845,0.204337108,0.054056381,0.100467091,-0.105713612,0.12054376,0.054056381,0.100467091,-0.267288006,0.150813871,-0.37744278,1.88963006671256,"2020-2021","Green beans",50,1.3,16,0.687965344593424
"40",2020-12-10,24,0.37037019,0.163620556,0.177955951,0.06922527,0.103931607,-0.074783617,0.124833849,0.06922527,0.103931607,-0.10465964,0.156363988,-0.193002094,1.88963006671256,"2020-2021","Green beans",100,0.97,16,0.513327987888939
"52",2020-12-11,13,0.463662316,0.371992077,0.217579186,0.005429864,0.221668552,0.007087104,0.266063348,0.005429864,0.221668552,0.11520362,0.332545249,-0.021719457,1.59050244978774,"2020-2021","Green beans",50,1.3,17,0.817351774700815
"53",2020-12-11,14,0.476519804,0.391692708,0.286863493,0.079099686,0.312896273,0.039319713,0.375475977,0.079099686,0.312896273,0.170770094,0.469297261,0.062099708,1.59050244978774,"2020-2021","Green beans",25,0.94,17,0.591008206322128
"54",2020-12-11,15,0.534328645,0.344312306,0.208514664,0.028016399,0.238189845,0.037183854,0.285884579,0.028016399,0.238189845,0.105035303,0.357373068,0.015548531,1.59050244978774,"2020-2021","Green beans",100,0.97,17,0.609870170353685
"55",2020-12-11,16,0.578241206,0.359370189,0.217712418,0.072394534,0.265496138,0.058532383,0.318603684,0.072394534,0.265496138,0.16189994,0.398282828,0.104991066,1.59050244978774,"2020-2021","Green beans",75,1.03,17,0.6475940984168
