"","Date","Plot","EVI","EVI2","GNDVI","NDRE","NDVI","NGRDI","NIRRENDVI","RedEdgeNDVI","RENDVI","RGBVI","SAVI","VARI","PM","EXPT_YEAR","Crop","IRR","ET_wb","DAS","Kc"
"1",2020-12-09,1,0.273801618,0.154776199,0.198922359,0.085639584,0.100270471,-0.100744591,0.12037972,0.085639584,0.100270471,-0.036782532,0.150492151,-0.194643054,2.11484955189898,"2020-2021","Sweet corn",25,0.47,15,0.222238030869843
"2",2020-12-09,11,0.4085147,0.174553822,0.186686368,0.060285825,0.112663502,-0.075604108,0.135239802,0.060285825,0.112663502,-0.321687558,0.169003004,-0.430305176,2.11484955189898,"2020-2021","Sweet corn",50,0.94,15,0.444476061739686
"3",2020-12-09,12,0.371905871,0.129919319,0.190248767,0.05720753,0.084574182,-0.107451815,0.101481398,0.05720753,0.084574182,-0.219689441,0.127176154,-0.320789702,2.11484955189898,"2020-2021","Sweet corn",100,1.5,15,0.709270311286733
"11",2020-12-09,2,0.279244755,0.123919822,0.155760022,0.05952951,0.080882517,-0.075851893,0.097165924,0.05952951,0.080882517,-0.074702116,0.121759465,-0.189689666,2.11484955189898,"2020-2021","Sweet corn",75,0.15,15,0.0709270311286733
"17",2020-12-09,3,0.364350848,0.139134597,0.15890799,0.06383864,0.090306701,-0.069537019,0.108564173,0.06383864,0.090306701,-0.184059387,0.135840985,-0.174264344,2.11484955189898,"2020-2021","Sweet corn",100,0.29,15,0.137125593515435
"18",2020-12-09,4,0.481439313,0.15863394,0.17139825,0.078857258,0.102842772,-0.069873252,0.123457399,0.078857258,0.102842772,-0.160808896,0.154351675,-0.24405997,2.11484955189898,"2020-2021","Sweet corn",50,0.25,15,0.118211718547789
"19",2020-12-09,5,0.413901067,0.153634316,0.185949017,0.055029689,0.099732801,-0.088004709,0.119584357,0.055029689,0.099732801,-0.37738882,0.149536241,-0.468964312,2.11484955189898,"2020-2021","Sweet corn",75,0.05,15,0.0236423437095578
"20",2020-12-09,6,0.327543084,0.132006337,0.180494023,0.061515195,0.085987325,-0.095958519,0.103178741,0.061515195,0.085987325,-0.029101253,0.129216477,0.334701614,2.11484955189898,"2020-2021","Sweet corn",25,1,15,0.472846874191156
"21",2020-12-09,7,0.265516561,0.12749125,0.182314154,0.059671007,0.083077138,-0.100678986,0.099823604,0.059671007,0.083077138,-0.027620048,0.124940501,-0.164022683,2.11484955189898,"2020-2021","Sweet corn",100,0.44,15,0.208052624644108
"22",2020-12-09,8,0.249266055,0.12316184,0.18391151,0.056060562,0.080333676,-0.105027194,0.096510363,0.056060562,0.080333676,-0.020791304,0.12097751,-0.170973946,2.11484955189898,"2020-2021","Sweet corn",50,0.01,15,0.00472846874191156
"23",2020-12-09,9,0.264992481,0.14243335,0.210902646,0.08756665,0.092821767,-0.120419371,0.111358962,0.08756665,0.092821767,-0.316442928,0.139216176,-0.450362674,2.11484955189898,"2020-2021","Sweet corn",75,0.07,15,0.0330992811933809
"24",2020-12-10,1,0.309319216,0.173670364,0.198397958,0.059333464,0.112159615,-0.088194758,0.134569549,0.059333464,0.112159615,-0.174763915,0.168219299,-0.162359233,1.88963006671256,"2020-2021","Sweet corn",25,0.88,16,0.465699617878625
"25",2020-12-10,10,0.328734825,0.172351564,0.219078479,0.071084473,0.111308297,-0.110413935,0.133554973,0.071084473,0.111308297,-0.19971612,0.166949803,-0.348451664,1.88963006671256,"2020-2021","Sweet corn",25,0.88,16,0.465699617878625
"26",2020-12-10,11,0.444637512,0.243626801,0.252952995,0.111663192,0.154450341,-0.102474412,0.185338324,0.111663192,0.154450341,-0.21282508,0.23170489,-0.361389685,1.88963006671256,"2020-2021","Sweet corn",50,1.05,16,0.555664316786996
"27",2020-12-10,12,0.316510549,0.140389153,0.191277168,0.070774167,0.091315463,-0.101719106,0.109601532,0.070774167,0.091315463,-0.340140181,0.13706479,-0.460500646,1.88963006671256,"2020-2021","Sweet corn",100,1.5,16,0.793806166838566
"35",2020-12-10,2,0.301416015,0.137507666,0.177774136,0.051358926,0.089630961,-0.089565401,0.107540446,0.051358926,0.089630961,-0.155794649,0.134464418,-0.175600262,1.88963006671256,"2020-2021","Sweet corn",75,1.43,16,0.756761879052766
"41",2020-12-10,3,0.300081825,0.151921678,0.183582687,0.057381183,0.098405674,-0.086758002,0.118100145,0.057381183,0.098405674,-0.137904024,0.147668526,-0.27048851,1.88963006671256,"2020-2021","Sweet corn",100,1.5,16,0.793806166838566
"42",2020-12-10,4,0.286249201,0.132119944,0.167277235,0.052721637,0.085978615,-0.082507361,0.103159771,0.052721637,0.085978615,0.244011451,0.129195723,0.072512077,1.88963006671256,"2020-2021","Sweet corn",50,1.05,16,0.555664316786996
"43",2020-12-10,5,0.33408078,0.1309673,0.189958935,0.060888213,0.085327757,-0.106288973,0.102357414,0.060888213,0.085327757,-0.016444106,0.128156654,0.330937109,1.88963006671256,"2020-2021","Sweet corn",75,1.43,16,0.756761879052766
"44",2020-12-10,6,0.402966616,0.199058091,0.227059129,0.100231328,0.127621369,-0.102318465,0.153171162,0.100231328,0.127621369,0.014882595,0.191446058,-0.123763294,1.88963006671256,"2020-2021","Sweet corn",25,0.88,16,0.465699617878625
"45",2020-12-10,7,0.378200628,0.203386046,0.229902767,0.103629661,0.13027567,-0.102578267,0.156398119,0.103629661,0.13027567,-0.025604231,0.195499519,-0.166916337,1.88963006671256,"2020-2021","Sweet corn",100,1.5,16,0.793806166838566
"46",2020-12-10,8,0.357690462,0.196140645,0.225044876,0.096491764,0.126020318,-0.101882829,0.151247658,0.096491764,0.126020318,0.016887312,0.189032449,-0.139485224,1.88963006671256,"2020-2021","Sweet corn",50,1.05,16,0.555664316786996
"47",2020-12-10,9,0.38466105,0.224182221,0.255732153,0.10561574,0.143015201,-0.11708197,0.171550895,0.10561574,0.143015201,-0.243521896,0.214507408,-0.39681394,1.88963006671256,"2020-2021","Sweet corn",75,1.43,16,0.756761879052766
"48",2020-12-11,1,0.697865271,0.610956676,0.372363833,0.195951665,0.423536131,0.069925454,0.508218107,0.195951665,0.423536131,0.26681616,0.635275941,0.372948548,1.59050244978774,"2020-2021","Sweet corn",25,0.88,17,0.553284278259013
"49",2020-12-11,10,0.790648855,0.648536917,0.359409034,0.177158383,0.436187026,0.099306012,0.523493717,0.177158383,0.436187026,0.305751157,0.654178935,0.268260417,1.59050244978774,"2020-2021","Sweet corn",25,0.88,17,0.553284278259013
"50",2020-12-11,11,0.918947368,0.693808468,0.383522319,0.206544928,0.471444638,0.114578551,0.565618551,0.206544928,0.471444638,0.224890435,0.707009855,0.223264147,1.59050244978774,"2020-2021","Sweet corn",50,1.05,17,0.660168741104505
"51",2020-12-11,12,0.818556338,0.639783061,0.345188881,0.194091233,0.427451889,0.104555714,0.512853409,0.194091233,0.427451889,0.440672369,0.641063198,0.697274887,1.59050244978774,"2020-2021","Sweet corn",100,1.5,51,0.943098201577864
"59",2020-12-11,2,0.688588403,0.607260166,0.355518153,0.180298149,0.401080789,0.061161337,0.481300793,0.180298149,0.401080789,0.385738158,0.60155446,0.311906938,1.59050244978774,"2020-2021","Sweet corn",75,1.43,17,0.899086952170897
"65",2020-12-11,3,0.737370273,0.623441096,0.340500382,0.186564808,0.423488668,0.105327222,0.508081232,0.186564808,0.423488668,0.619101095,0.635120957,0.500068755,1.59050244978774,"2020-2021","Sweet corn",100,1.5,17,0.943098201577864
"66",2020-12-11,4,0.630930799,0.562504692,0.289015373,0.155613714,0.360272084,0.086695949,0.432363348,0.155613714,0.360272084,0.590541728,0.540379453,0.454873109,1.59050244978774,"2020-2021","Sweet corn",50,1.05,17,0.660168741104505
"67",2020-12-11,5,0.704486148,0.587795827,0.322518703,0.165698254,0.386563591,0.080973815,0.463941397,0.165698254,0.386563591,0.511694514,0.579882793,0.500669576,1.59050244978774,"2020-2021","Sweet corn",75,1.43,17,0.899086952170897
"68",2020-12-11,6,0.707351077,0.624069666,0.345658061,0.201318654,0.416737535,0.090984561,0.500107568,0.201318654,0.416737535,0.481743862,0.625054417,0.48989876,1.59050244978774,"2020-2021","Sweet corn",25,0.88,17,0.553284278259013
"69",2020-12-11,7,0.755145068,0.637714174,0.350746523,0.212874574,0.432046707,0.103660457,0.518454474,0.212874574,0.432046707,0.220674364,0.64805038,0.184979651,1.59050244978774,"2020-2021","Sweet corn",100,1.5,17,0.943098201577864
"70",2020-12-11,8,0.662130081,0.507735821,0.310598027,0.147540074,0.342896424,0.044848335,0.411540074,0.147540074,0.342896424,0.2922836,0.514401973,0.400548705,1.59050244978774,"2020-2021","Sweet corn",50,1.05,17,0.660168741104505
"71",2020-12-11,9,0.851314879,0.652243602,0.371666068,0.181880465,0.444877231,0.096121691,0.533807642,0.181880465,0.444877231,0.272849443,0.667255959,0.197192142,1.59050244978774,"2020-2021","Sweet corn",75,1.43,17,0.899086952170897
"72",2020-12-12,1,0.225415907,0.160551889,0.211636322,0.065691853,0.104070323,-0.110047792,0.124883933,0.065691853,0.104070323,-0.147207556,0.156147019,-0.276953635,1.32004507792975,"2020-2021","Sweet corn",25,1.55,18,1.17420232529551
"73",2020-12-12,10,0.166049032,0.128890995,0.234376439,0.071027759,0.08400677,-0.153293162,0.100748815,0.071027759,0.08400677,-0.359925362,0.126113744,-0.516968781,1.32004507792975,"2020-2021","Sweet corn",25,1.54,18,1.16662682642263
"74",2020-12-12,11,0.178486663,0.133417515,0.227587237,0.070291921,0.086711473,-0.143543788,0.104043449,0.070291921,0.086711473,-0.12561575,0.13021317,0.370685307,1.32004507792975,"2020-2021","Sweet corn",50,2.5,18,1.89387471821856
"75",2020-12-12,12,0.216883845,0.136156204,0.203320005,0.073991737,0.088512595,-0.116898574,0.10618286,0.073991737,0.088512595,-0.047772891,0.132876183,-0.104442899,1.32004507792975,"2020-2021","Sweet corn",100,2.22,21,1.68176074977808
"83",2020-12-12,2,0.174230899,0.116862515,0.200874601,0.072558335,0.076447876,-0.126278328,0.091725701,0.072558335,0.076447876,0.204831291,0.115005875,-0.01813161,1.32004507792975,"2020-2021","Sweet corn",75,4.12,18,3.12110553562418
"89",2020-12-12,3,0.190504823,0.119980726,0.179286862,0.042615681,0.078085448,-0.102383553,0.093980084,0.042615681,0.078085448,0.225983793,0.117722454,0.011050243,1.32004507792975,"2020-2021","Sweet corn",100,2.23,18,1.68933624865095
"90",2020-12-12,4,0.201379095,0.122988488,0.194191039,0.083130056,0.080348475,-0.115605165,0.096515246,0.083130056,0.080348475,-0.146403569,0.12078407,-0.297300034,1.32004507792975,"2020-2021","Sweet corn",50,1.9,18,1.4393447858461
"91",2020-12-12,5,0.241622454,0.151103758,0.199909005,0.078897424,0.098123375,-0.103792248,0.117700307,0.078897424,0.098123375,0.00320728,0.14714961,-0.028393986,1.32004507792975,"2020-2021","Sweet corn",75,1.98,18,1.4999487768291
"92",2020-12-12,6,0.173412224,0.122375919,0.206332721,0.069767923,0.07974954,-0.128455882,0.095696232,0.069767923,0.07974954,-0.355757799,0.119949449,-0.513321825,1.32004507792975,"2020-2021","Sweet corn",25,1.98,18,1.4999487768291
"93",2020-12-12,7,0.169348813,0.125524939,0.213582142,0.08293338,0.081951517,-0.133841995,0.098358912,0.08293338,0.081951517,-0.01087548,0.123160098,-0.202310778,1.32004507792975,"2020-2021","Sweet corn",100,3.07,18,2.32567815397239
"94",2020-12-12,8,0.231255211,0.170479492,0.235755055,0.075039861,0.110152513,-0.128945118,0.132168689,0.075039861,0.110152513,-0.209923744,0.165253611,-0.055665049,1.32004507792975,"2020-2021","Sweet corn",50,2.51,18,1.90145021709143
"95",2020-12-12,9,0.173215946,0.130154777,0.238255241,0.071456311,0.084852962,-0.156524553,0.101771493,0.071456311,0.084852962,-0.395822471,0.127411003,-0.551868577,1.32004507792975,"2020-2021","Sweet corn",75,2.4,18,1.81811972948982
"96",2020-12-13,1,0.282910493,0.172183894,0.225055288,0.100646635,0.110987981,-0.117036058,0.133262019,0.100646635,0.110987981,-0.591667067,0.16650601,0.041461262,2.45689628298269,"2020-2021","Sweet corn",25,1.1,19,0.447719347218269
"97",2020-12-13,10,0.2520877,0.141075549,0.186458791,0.080865385,0.091550824,-0.096585165,0.109758242,0.080865385,0.091550824,0.048237637,0.137482143,0.446898507,2.45689628298269,"2020-2021","Sweet corn",25,0.94,19,0.382596533077429
